"","NAME","Pop2015","Pop2016.x","ATF.Region","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL","Category","PerCapCategory"
"194","Utah",2990632,3051217,9,11105,925.416666666667,363.953137387475,30.3294281156229,"5000 to 9999",684.857247565063
"195","Vermont",626088,624594,6,3724,310.333333333333,596.227309260095,49.6856091050079,"5000 to 9999",1221.22608962318
"196","Virginia",8367587,8411808,1,20580,1715,244.65608344841,20.3880069540341,"5000 to 9999",1076.77344735107
"197","Washington",7160290,7288000,9,14427,1202.25,197.955543358946,16.4962952799122,"5000 to 9999",1143.21054035521
"198","West Virginia",1841053,1831102,4,10736,894.666666666667,586.313596948723,48.8594664123936,"5000 to 9999",2274.16331849219
"199","Wisconsin",5767891,5778708,3,18875,1572.91666666667,326.63010486081,27.2191754050675,"5000 to 9999",1166.22526327214
"200","Wyoming",586555,585501,5,7358,613.166666666667,1256.70152570192,104.725127141827,"5000 to 9999",975.769535678666
"201","Alabama",4853875,4863300,1,14761,1230.08333333333,303.518187239117,25.2931822699265,"10000 to 14999",2624.72581185136
"202","Alaska",737709,741894,9,7284,607,981.811417803622,81.8176181503018,"10000 to 14999",1085.24092833353
"203","Arizona",6817565,6931071,9,21759,1813.25,313.934166884166,26.1611805736805,"10000 to 14999",1734.11451155948
"204","Arkansas",2977853,2988248,5,15251,1270.91666666667,510.365940176317,42.5304950146931,"10000 to 14999",2729.18350905837
"205","California",38993940,39250017,9,30579,2548.25,77.9082465110779,6.49235387592316,"10000 to 14999",1587.49061007941
"206","Colorado",5448819,5540545,5,20702,1725.16666666667,373.645552919433,31.1371294099528,"10000 to 14999",1408.84098003622
"207","Connecticut",3584730,3576452,6,6473,539.416666666667,180.98942751084,15.08245229257,"10000 to 14999",1461.87905365258
"208","Delaware",944076,952065,8,1433,119.416666666667,150.514933329132,12.542911110761,"10000 to 14999",1232.48922756219
"209","Florida",20244914,20612439,1,38357,3196.41666666667,186.086663494796,15.5072219578996,"10000 to 14999",1916.95340370426
"210","Georgia",10199398,10310371,1,23825,1985.41666666667,231.078008735088,19.256500727924,"10000 to 14999",1971.70837925925
"211","Hawaii",1425157,1428557,9,1252,104.333333333333,87.6408851729402,7.30340709774502,"10000 to 14999",1001.28982280549
"212","Idaho",1652828,1683140,9,11462,955.166666666667,680.989103699039,56.7490919749199,"10000 to 14999",1987.99602862488
"213","Illinois",12839047,12801539,3,24367,2030.58333333333,190.344301571866,15.8620251309888,"10000 to 14999",1605.76161922298
"214","Indiana",6612768,6633053,4,17601,1466.75,265.352922703919,22.1127435586599,"10000 to 14999",1901.73237591278
