"NAME","ATF.Region","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL","Pop2010","Pop2011","Pop2012","Pop2013","Pop2014","Pop2015","Pop2016","Total.18to24","Total.25to34","Total.35to44","Total.45to64","Total.65plus","Total.1824.HS.Male","Total.25to34.HS","Total.35to44.HS","Total.45to64.HS","Total.65plus.HS","Total.18to24.BA","Total.25to34.BA","Total.35to44.BA","Total.45to64.BA","Total.65plus.BA","Total.18.to24.Male","Total.25to34.Male","Total.35to44.Male","Total.45to64.Male","Total.65plus.Male","Total.18to24.Female","Total.25to34.Female","Total.35to44.Female","Total.45to64.Female","Total.65plus.Female","total.pop","total.HS","total.BA","total.male","total.female","pop.err.2015","pop.err.2016","perCap.pop","perCap.HS","perCap.BA","perCap.male","perCap.female"
"New Hampshire",6,5961,496.75,446.585430721571,37.215452560131,1316872,1318473,1321182,1322687,1328743,1330111,1334795,130063,155315,156414,407128,218357,24361,147196,147069,382740,195568,15890,63277,61992,141013,68031,66388,79484,77413,200215,99408,63675,75831,79001,206913,118949,1067277,896934,350203,522908,544369,262834,267518,80239.694281154,67433.0187480594,26328.8552609519,39313.1099584922,40926.5843226618
"Maine",6,6210,517.5,466.398643914023,38.866553659502,1327730,1328231,1328895,1329076,1330719,1329453,1331479,112229,151964,152672,406036,250568,18256,141424,145492,376336,218389,10755,49547,51524,112333,76149,58050,74340,75281,197963,113265,54179,77624,77391,208073,137303,1073469,899897,300308,518899,554570,255984,258010,80745.163612403,67689.2676912986,22588.8391691921,39031.015011437,41714.148600966
"Rhode Island",6,1087,90.5833333333333,102.894097646215,8.57450813718456,1053337,1052451,1052901,1053033,1054480,1055607,1056426,114340,143020,123682,292849,170532,17240,130237,111451,261474,136877,14883,51879,43347,98950,44642,56648,71743,61186,140937,72890,57692,71277,62496,151912,97642,844423,657279,253701,403404,441019,211184,212003,79994.0697627052,62265.5022181551,24033.6602542423,38215.3585567356,41778.7112059697
"Montana",9,12987,1082.25,1245.73149675786,103.810958063155,990641,997821,1005196,1014314,1022867,1032073,1042520,100393,128657,118633,280108,178931,19743,120750,112958,264068,162980,6002,42354,43277,78686,51857,53454,65615,60753,138575,85187,46939,63042,57880,141533,93744,806722,680499,222176,403584,403138,225351,235798,78165.2073060723,65935.161563184,21527.1594160491,39104.2106517659,39060.9966543064
"Delaware",8,1433,119.416666666667,150.514933329132,12.542911110761,899816,907924,916993,925395,934948,944076,952065,89098,124348,110727,256737,160824,14332,109417,98527,233432,138905,9785,40876,39092,79813,42148,44998,61076,53905,122021,71963,44100,63272,56822,134716,88861,741734,594613,211714,353963,387771,202342,210331,78567.1916244031,62983.5945411174,22425.5250636601,37493.0619992458,41074.1296251573
"South Dakota",3,6194,516.166666666667,715.6937283784,59.6411440315334,816325,824398,834441,844922,852561,857919,865454,85681,111923,98348,218324,134513,14397,102933,90667,204279,115187,8294,35034,31126,57585,31140,44388,57233,50998,109321,61290,41293,54690,47350,109003,73223,648789,527463,163179,323230,325559,209130,216665,75623.57285478,61481.6783402629,19020.3270938166,37676.0510024839,37947.5218522961
"North Dakota",3,4952,412.666666666667,653.339525458077,54.4449604548397,674526,685476,702087,724019,739904,756835,757952,93597,114100,86540,184020,107357,14720,108196,83699,173824,89330,12220,40646,27905,53559,21293,49443,63292,46615,93516,48192,44154,50808,39925,90504,59165,585614,469769,155623,301058,284556,171221,172338,77376.7069440499,62070.2002417964,20562.3418578686,39778.551467625,37598.1554764249
"Alaska",9,7284,607,981.811417803622,81.8176181503018,714031,722713,731089,736879,736705,737709,741894,82518,118778,91656,188081,71008,18484,110327,86177,176033,62370,4793,33668,26822,57535,21391,48263,63933,47778,97577,35048,34255,54845,43878,90504,35960,552041,453391,144209,292599,259442,185668,189853,74831.8103750937,61459.3288139361,19548.2229442775,39663.2005302904,35168.6098448033
"Vermont",6,3724,310.333333333333,596.227309260095,49.6856091050079,625982,626730,626444,627140,626984,626088,624594,67228,70733,69851,187986,110084,9464,64762,65940,175554,95929,9758,27518,26884,67437,40233,34843,35754,34350,91569,50292,32385,34979,35501,96417,59792,505882,411649,171830,246808,259074,120206,118712,80800.4625547846,65749.3834732498,27445.0237027383,39420.656521128,41379.8060336566
"Wyoming",5,7358,613.166666666667,1256.70152570192,104.725127141827,564513,567725,576765,582684,583642,586555,585501,57860,82440,72140,151620,82547,12019,75566,68283,139587,74886,2684,21981,20335,36852,22866,30355,41573,37595,75517,39255,27505,40867,34545,76103,43292,446607,370341,104718,224295,222312,139948,138894,76140.6858691853,63138.3246242893,17853.0572580576,38239.3807912301,37901.3050779552
